name,address,governorate,city,district
صيدلية فتحية طارق,شارع النصر، مبنى 115، عند النفق، حي الموسكي، مدينتي، القاهرة,القاهرة,مدينتي,حي الموسكي
صيدلية محمود البحيري,شارع الزهراء، مبنى 18، عند الدوار، حي المطارية، منشية ناصر، القاهرة,القاهرة,منشية ناصر,حي المطارية
صيدلية صبر النحاس,شارع 26 يوليو، مبنى 43، أمام البنك، حي الوايلي، القاهرة الجديدة، القاهرة,القاهرة,القاهرة الجديدة,حي الوايلي
صيدلية رأفت,شارع القنال، مبنى 62، بجوار المسجد، حي عين شمس، روض الفرج، القاهرة,القاهرة,روض الفرج,حي عين شمس
صيدلية المستقبل,شارع عباس العقاد، مبنى 207، عند النفق، حي الخليفة، وسط البلد، القاهرة,القاهرة,وسط البلد,حي الخليفة
صيدلية فاطمة يوسف,شارع كورنيش النيل، مبنى 266، أمام البنك، حي الشروق، المعادي، القاهرة,القاهرة,المعادي,حي الشروق
صيدلية د. هايدي فathy,شارع الروضة، مبنى 70، أمام المستشفى، حي 15 مايو، مصر الجديدة، القاهرة,القاهرة,مصر الجديدة,حي 15 مايو
صيدلية غادة عاطف,شارع الأزهر، مبنى 176، عند الدوار، حي روض الفرج، بولاق، القاهرة,القاهرة,بولاق,حي روض الفرج
صيدلية الهدى,شارع البحر، مبنى 236، عند النفق، حي عين شمس، الخليفة، القاهرة,القاهرة,الخليفة,حي عين شمس
صيدلية سحر,شارع النصر، مبنى 182، عند النفق، حي الحسين، المقطم، القاهرة,القاهرة,المقطم,حي الحسين
صيدلية د. الهدى,شارع الخليفة، مبنى 35، عند النفق، حي المطارية، القبة، القاهرة,القاهرة,القبة,حي المطارية
صيدلية إيناس غانم,شارع الهرم، مبنى 68، عند الدوار، حي الزاوية، المنتزة، القاهرة,القاهرة,المنتزة,حي الزاوية
صيدلية د. إيمان,شارع طلعت حرب، مبنى 203، حي حلوان، بولاق، القاهرة,القاهرة,بولاق,حي حلوان
صيدلية سامية السباعي,شارع المحطة، مبنى 133، أمام المستشفى، حي الموسكي، الزمالك، القاهرة,القاهرة,الزمالك,حي الموسكي
صيدلية التقدم,شارع بورسعيد، مبنى 226، بعد محطة المترو، حي المعادي، حدائق القبة، القاهرة,القاهرة,حدائق القبة,حي المعادي
صيدلية هشام عزب,شارع الميناء، مبنى 49، بجانب المدرسة، حي الشروق، باب الشعرية، القاهرة,القاهرة,باب الشعرية,حي الشروق
صيدلية إسراء هشام,شارع التحرير، مبنى 123، بجوار البريد، حي الدرب الأحمر، روض الفرج، القاهرة,القاهرة,روض الفرج,حي الدرب الأحمر
صيدلية أيمن هشام,شارع النصر، مبنى 133، عند النفق، حي القبة، الوايلي، القاهرة,القاهرة,الوايلي,حي القبة
صيدلية أحلام الخياط,شارع الأقصى، مبنى 199، بجانب المدرسة، حي الجمالية، باب الشعرية، القاهرة,القاهرة,باب الشعرية,حي الجمالية
صيدلية عبدالسلام مصطفى,شارع الثورة، مبنى 292، حي الجمالية، مدينة نصر، القاهرة,القاهرة,مدينة نصر,حي الجمالية
صيدلية لطفي الشيخ,شارع كورنيش النيل، مبنى 229، حي الأزبكية، المنتزة، القاهرة,القاهرة,المنتزة,حي الأزبكية
صيدلية د. رائد,شارع المحطة، مبنى 246، أمام المستشفى، حي المطرية، المنيل، القاهرة,القاهرة,المنيل,حي المطرية
صيدلية عبدالشافي الحلواني,شارع البحر، مبنى 189، حي التبين، مدينة السلام، القاهرة,القاهرة,مدينة السلام,حي التبين
صيدلية الرضا,شارع العشرين، مبنى 81، حي مصر الجديدة، مدينة السلام، القاهرة,القاهرة,مدينة السلام,حي مصر الجديدة
صيدلية عبدالرحمن فؤاد,شارع السادات، مبنى 1، حي السلام ثان، القاهرة الجديدة، القاهرة,القاهرة,القاهرة الجديدة,حي السلام ثان
صيدلية عبدالستار غانم,شارع الجلاء، مبنى 83، بجوار المسجد، حي المطرية، الرحاب، القاهرة,القاهرة,الرحاب,حي المطرية
صيدلية دينا سلامة,شارع العروبة، مبنى 83، بعد محطة المترو، حي الحسين، الساحل، القاهرة,القاهرة,الساحل,حي الحسين
صيدلية د. النور,شارع الجامعة، مبنى 85، أمام المستشفى، حي بولاق، وسط البلد، القاهرة,القاهرة,وسط البلد,حي بولاق
صيدلية فاتن سيد,شارع فلسطين، مبنى 264، بجوار المسجد، حي الخليفة، الفسطاط، القاهرة,القاهرة,الفسطاط,حي الخليفة
صيدلية رأفت عزب,شارع البحر، مبنى 230، بجوار البريد، حي المغربلين، الهايكستب، القاهرة,القاهرة,الهايكستب,حي المغربلين
صيدلية ثروت الفقي,شارع الثورة، مبنى 295، بجانب المدرسة، حي عابدين، مصر الجديدة، القاهرة,القاهرة,مصر الجديدة,حي عابدين
صيدلية إيمان الخياط,شارع مكرم عبيد، مبنى 24، عند النفق، حي المطارية، القاهرة، القاهرة,القاهرة,القاهرة,حي المطارية
صيدلية د. المستقبل,شارع الأهرام، مبنى 88، أمام المستشفى، حي المنتزة، الزمالك، القاهرة,القاهرة,الزمالك,حي المنتزة
صيدلية زينب السباعي,شارع الأهرام، مبنى 296، بجانب السوق، حي باب الشعرية، القبة، القاهرة,القاهرة,القبة,حي باب الشعرية
صيدلية حمدي الجزار,شارع الأقصى، مبنى 23، عند النفق، حي النزهة، شبرا، القاهرة,القاهرة,شبرا,حي النزهة
