name,address,governorate,city,district
صيدلية د. علي أشرف,شارع الاستقلال، منشية ناصر، القاهرة,القاهرة,منشية ناصر,حي 2
صيدلية د. عبدالرحمن أنور,شارع الخليفة، مدينة السلام، القاهرة,القاهرة,مدينة السلام,حي 2
صيدلية د. فاتن مدحت,شارع العروبة، الزيتون، القاهرة,القاهرة,الزيتون,حي 11
صيدلية د. عمر رانيا,شارع مكرم عبيد، التجمع، القاهرة,القاهرة,التجمع,حي 4
صيدلية د. محمد حسين,شارع رمسيس، الخليفة، القاهرة,القاهرة,الخليفة,حي 1
صيدلية د. سمير صبحي,شارع الجلاء، الشرابية، القاهرة,القاهرة,الشرابية,حي 2
صيدلية د. حسين كمال,شارع الخليفة، مصر الجديدة، القاهرة,القاهرة,مصر الجديدة,حي 12
صيدلية د. إبراهيم دينا,شارع مصطفى النحاس، مدينتي، القاهرة,القاهرة,مدينتي,حي 4
صيدلية د. أشرف أنور,شارع قاسم أمين، مدينتي، القاهرة,القاهرة,مدينتي,حي 11
صيدلية د. مدحت هاني,شارع فيصل، شبرا، القاهرة,القاهرة,شبرا,حي 10
صيدلية د. طارق فؤاد,شارع أحمد عرابي، بولاق، القاهرة,القاهرة,بولاق,حي 6
صيدلية د. أحمد عبدالعزيز,شارع الاستقلال، التحرير، القاهرة,القاهرة,التحرير,حي 11
صيدلية د. أنور وحيد,شارع 26 يوليو، المرج، القاهرة,القاهرة,المرج,حي 8
صيدلية د. وائل نهى,شارع 26 يوليو، التجمع الخامس، القاهرة,القاهرة,التجمع الخامس,حي 9
صيدلية د. أنور نادية,شارع العروبة، الزاوية، القاهرة,القاهرة,الزاوية,حي 11
صيدلية د. مدحت مجدي,شارع طلعت حرب، الحضرة، القاهرة,القاهرة,الحضرة,حي 5
صيدلية د. وائل جلال,شارع رمسيس، التجمع، القاهرة,القاهرة,التجمع,حي 7
صيدلية د. حسام محمد,شارع مصطفى النحاس، السيدة زينب، القاهرة,القاهرة,السيدة زينب,حي 8
صيدلية د. هاني سعاد,شارع العشرين، التحرير، القاهرة,القاهرة,التحرير,حي 11
صيدلية د. سيد عمرو,شارع مكرم عبيد، حدائق القبة، القاهرة,القاهرة,حدائق القبة,حي 2
صيدلية د. عمر عاطف,شارع الأزهر، القاهرة الجديدة، القاهرة,القاهرة,القاهرة الجديدة,حي 13
صيدلية د. نبيل وائل,شارع الوحدة، حلوان، القاهرة,القاهرة,حلوان,حي 14
صيدلية د. عمرو إيناس,شارع المعز، الحضرة، القاهرة,القاهرة,الحضرة,حي 5
صيدلية د. محمد نبيل,شارع 26 يوليو، مصر الجديدة، القاهرة,القاهرة,مصر الجديدة,حي 9
صيدلية د. حسين مجدي,شارع الأزهر، المعادي، القاهرة,القاهرة,المعادي,حي 14
صيدلية د. عبدالعزيز هاني,شارع فيصل، منشية ناصر، القاهرة,القاهرة,منشية ناصر,حي 7
صيدلية د. عاطف حسين,شارع الثورة، المنيل، القاهرة,القاهرة,المنيل,حي 3
صيدلية د. منال مدحت,شارع الطيران، الزيتون، القاهرة,القاهرة,الزيتون,حي 10
صيدلية د. إيناس صبحي,شارع كورنيش النيل، مصر الجديدة، القاهرة,القاهرة,مصر الجديدة,حي 2
صيدلية د. ليلى أماني,شارع النصر، عين شمس، القاهرة,القاهرة,عين شمس,حي 8
صيدلية د. عبدالرحمن نعمت,شارع عباس العقاد، القبة، القاهرة,القاهرة,القبة,حي 2
صيدلية د. صبحي ليلى,شارع الطيران، الزاوية، القاهرة,القاهرة,الزاوية,حي 3
صيدلية د. نادية عمرو,شارع الخليفة، الرحاب، القاهرة,القاهرة,الرحاب,حي 10
صيدلية د. رانيا خالد,شارع الخليفة، الساحل، القاهرة,القاهرة,الساحل,حي 1
صيدلية د. محمود عادل,شارع مصطفى النحاس، مدينة نصر، القاهرة,القاهرة,مدينة نصر,حي 8
صيدلية د. يوسف علي,شارع العشرين، عين شمس، القاهرة,القاهرة,عين شمس,حي 3
