name,governorate,city,district,address,phone,location_url,district_id
صيدلية علي وعلي - المركز الرئيسي,جنوب سيناء,المركز الرئيسي,الحي 1,شارع 15، خلف المسجد، الحي 1,0127231106,"https://www.google.com/maps?q=29.21388238474355,30.769038989294128",DIST-26-630
صيدلية د. إبراهيم محمد,المنيا,المركز الرئيسي,الحي 1,شارع 13، خلف البنك، الحي 1,0111038872,"https://www.google.com/maps?q=29.88780485054156,30.204777484990885",DIST-16-949
صيدلية د. أحمد سيد,بورسعيد,المركز الرئيسي,الحي 10,شارع 23، خلف المسجد، الحي 10,0155727606,"https://www.google.com/maps?q=30.241447335284196,31.854388405010237",DIST-11-463
صيدلية علي وعلي - المركز الرئيسي,جنوب سيناء,المركز الرئيسي,الحي 1,شارع 85، خلف المدرسة، الحي 1,0159203870,"https://www.google.com/maps?q=30.599227535928343,30.039414831449665",DIST-26-568
صيدلية 19011 - المركز الرئيسي,شمال سيناء,المركز الرئيسي,الحي 6,شارع 78، خلف البنك، الحي 6,0124056719,"https://www.google.com/maps?q=29.53690477259944,31.825729444619704",DIST-25-200
صيدلية سيف - المركز الرئيسي,مطروح,المركز الرئيسي,الحي 2,شارع 40، خلف المدرسة، الحي 2,0129407482,"https://www.google.com/maps?q=30.595292038380833,30.9660919662678",DIST-24-748
صيدلية د. حسين علي,البحر الأحمر,المركز الرئيسي,الحي 3,شارع 59، خلف المسجد، الحي 3,0119317939,"https://www.google.com/maps?q=30.772198434006107,30.62500151246127",DIST-22-965
صيدلية د. علي سيد,المنيا,المركز الرئيسي,الحي 3,شارع 45، خلف المسجد، الحي 3,0115617357,"https://www.google.com/maps?q=30.591210014657,31.637150679496905",DIST-16-548
صيدلية رشدي - المركز الرئيسي,الإسماعيلية,المركز الرئيسي,الحي 9,شارع 52، خلف المدرسة، الحي 9,0126071327,"https://www.google.com/maps?q=29.57219777063112,30.97417691860825",DIST-12-972
صيدلية رشدي - المركز الرئيسي,بني سويف,المركز الرئيسي,الحي 1,شارع 50، خلف البنك، الحي 1,0106163963,"https://www.google.com/maps?q=30.895306246587563,31.07278165275629",DIST-15-326
صيدلية العزبي - المركز الرئيسي,بورسعيد,المركز الرئيسي,الحي 9,شارع 53، خلف المسجد، الحي 9,0154197744,"https://www.google.com/maps?q=30.00855822027159,31.200423469629094",DIST-11-789
صيدلية د. سيد سيد,السويس,المركز الرئيسي,الحي 3,شارع 93، خلف البنك، الحي 3,0122355820,"https://www.google.com/maps?q=29.87316196387841,30.41083402457659",DIST-13-673
صيدلية د. محمود علي,القليوبية,المركز الرئيسي,الحي 7,شارع 83، خلف البنك، الحي 7,0153490175,"https://www.google.com/maps?q=30.6693807350585,30.148408403657992",DIST-03-496
صيدلية سيف - المركز الرئيسي,الإسماعيلية,المركز الرئيسي,الحي 5,شارع 98، خلف المدرسة، الحي 5,0154131813,"https://www.google.com/maps?q=29.627894285925677,31.035394483145218",DIST-12-398
صيدلية رشدي - المركز الرئيسي,المنيا,المركز الرئيسي,الحي 3,شارع 51، خلف المدرسة، الحي 3,0116014051,"https://www.google.com/maps?q=29.341017716455642,31.392513066774516",DIST-16-752
صيدلية صيدلية المدينة - المركز الرئيسي,قنا,المركز الرئيسي,الحي 6,شارع 57، خلف المسجد، الحي 6,0117552689,"https://www.google.com/maps?q=30.06331833975492,30.902490778765287",DIST-19-502
