id,tradeName,scientificName,company,category,price,currency,dosageForm,strength,requiresPrescription,availability,description
drug_00001,Augmentin 1g,Amoxicillin/Clavulanate,GSK,Antibiotics,146.02,EGP,Tablet,1g,True,Out of Stock,Augmentin 1g - Antibiotics medication by GSK
drug_00002,Augmentin 625mg,Amoxicillin/Clavulanate,GSK,Antibiotics,110.39,EGP,Tablet,625mg,True,Out of Stock,Augmentin 625mg - Antibiotics medication by GSK
drug_00003,Augmentin Duo,Amoxicillin/Clavulanate,GSK,Antibiotics,192.93,EGP,Tablet,,True,Out of Stock,Augmentin Duo - Antibiotics medication by GSK
drug_00004,Curam 1g,Unknown,Sandoz,Antibiotics,160.34,EGP,Tablet,1g,True,Available,Curam 1g - Antibiotics medication by Sandoz
drug_00005,Curam 625mg,Unknown,Sandoz,Antibiotics,176.81,EGP,Tablet,625mg,True,Available,Curam 625mg - Antibiotics medication by Sandoz
drug_00006,Hibiotic 1g,Unknown,Bayer,Antibiotics,157.78,EGP,Tablet,1g,True,Out of Stock,Hibiotic 1g - Antibiotics medication by Bayer
drug_00007,Hibiotic 625mg,Unknown,Sanofi,Antibiotics,70.88,EGP,Tablet,625mg,True,Out of Stock,Hibiotic 625mg - Antibiotics medication by Sanofi
drug_00008,Megamox 1g,Unknown,Hikma,Antibiotics,100.93,EGP,Tablet,1g,True,Out of Stock,Megamox 1g - Antibiotics medication by Hikma
drug_00009,Megamox 625mg,Unknown,Hikma,Antibiotics,145.44,EGP,Tablet,625mg,True,Available,Megamox 625mg - Antibiotics medication by Hikma
drug_00010,Klavox 1g,Unknown,Sandoz,Antibiotics,21.18,EGP,Tablet,1g,True,Limited,Klavox 1g - Antibiotics medication by Sandoz
drug_00011,Klavox 625mg,Unknown,Sandoz,Antibiotics,58.08,EGP,Tablet,625mg,True,Available,Klavox 625mg - Antibiotics medication by Sandoz
drug_00012,E-Mox 500,Unknown,EIPICO,Antibiotics,70.89,EGP,Tablet,,True,Out of Stock,E-Mox 500 - Antibiotics medication by EIPICO
drug_00013,E-Mox 250,Unknown,EIPICO,Antibiotics,191.99,EGP,Tablet,,True,Available,E-Mox 250 - Antibiotics medication by EIPICO
drug_00014,Amoxil 500,Unknown,Servier,Antibiotics,184.59,EGP,Tablet,,True,Out of Stock,Amoxil 500 - Antibiotics medication by Servier
drug_00015,Amoxil 250,Unknown,Pfizer,Antibiotics,75.94,EGP,Tablet,,True,Available,Amoxil 250 - Antibiotics medication by Pfizer
drug_00016,Zithromax 500,Azithromycin,Novartis,Antibiotics,49.05,EGP,Tablet,,True,Limited,Zithromax 500 - Antibiotics medication by Novartis
drug_00017,Zithromax 250,Azithromycin,Novartis,Antibiotics,139.03,EGP,Tablet,,True,Available,Zithromax 250 - Antibiotics medication by Novartis
drug_00018,Azithromycin 500,Unknown,Abbott,Antibiotics,62.27,EGP,Tablet,,True,Available,Azithromycin 500 - Antibiotics medication by Abbott
drug_00019,Azithromycin 250,Unknown,Eva Pharma,Antibiotics,58.55,EGP,Tablet,,True,Out of Stock,Azithromycin 250 - Antibiotics medication by Eva Pharma
drug_00020,Flagyl 500,Metronidazole,Sanofi,Antibiotics,32.15,EGP,Tablet,,True,Available,Flagyl 500 - Antibiotics medication by Sanofi
drug_00021,Flagyl 250,Metronidazole,Sanofi,Antibiotics,151.9,EGP,Tablet,,True,Limited,Flagyl 250 - Antibiotics medication by Sanofi
drug_00022,Metronidazole 500,Unknown,Sedico,Antibiotics,157.32,EGP,Tablet,,True,Available,Metronidazole 500 - Antibiotics medication by Sedico
drug_00023,Metronidazole 250,Unknown,Global Napi,Antibiotics,23.93,EGP,Tablet,,True,Available,Metronidazole 250 - Antibiotics medication by Global Napi
drug_00024,Ciprofloxacin 500,Ciprofloxacin,GlaxoSmithKline,Antibiotics,156.67,EGP,Tablet,,True,Limited,Ciprofloxacin 500 - Antibiotics medication by GlaxoSmithKline
drug_00025,Ciprofloxacin 250,Ciprofloxacin,Servier,Antibiotics,112.83,EGP,Tablet,,True,Available,Ciprofloxacin 250 - Antibiotics medication by Servier
drug_00026,Ciproxin 500,Unknown,Boehringer Ingelheim,Antibiotics,85.82,EGP,Tablet,,True,Out of Stock,Ciproxin 500 - Antibiotics medication by Boehringer Ingelheim
drug_00027,Ciproxin 250,Unknown,Servier,Antibiotics,20.91,EGP,Tablet,,True,Available,Ciproxin 250 - Antibiotics medication by Servier
drug_00028,Levofloxacin 500,Unknown,Pfizer,Antibiotics,41.62,EGP,Tablet,,True,Available,Levofloxacin 500 - Antibiotics medication by Pfizer
drug_00029,Levofloxacin 250,Unknown,Amoun,Antibiotics,46.95,EGP,Tablet,,True,Available,Levofloxacin 250 - Antibiotics medication by Amoun
drug_00030,Tavanic 500,Unknown,Medical Union,Antibiotics,30.41,EGP,Tablet,,True,Available,Tavanic 500 - Antibiotics medication by Medical Union
drug_00031,Tavanic 250,Unknown,Servier,Antibiotics,61.17,EGP,Tablet,,True,Out of Stock,Tavanic 250 - Antibiotics medication by Servier
drug_00032,Moxifloxacin 400,Moxifloxacin,Spimaco,Antibiotics,177.14,EGP,Tablet,,True,Available,Moxifloxacin 400 - Antibiotics medication by Spimaco
drug_00033,Avelox 400,Unknown,Spimaco,Antibiotics,15.47,EGP,Tablet,,True,Out of Stock,Avelox 400 - Antibiotics medication by Spimaco
drug_00034,Clarithromycin 500,Unknown,Sedico,Antibiotics,144.53,EGP,Tablet,,True,Out of Stock,Clarithromycin 500 - Antibiotics medication by Sedico
drug_00035,Klacid 500,Unknown,AstraZeneca,Antibiotics,60.35,EGP,Tablet,,True,Out of Stock,Klacid 500 - Antibiotics medication by AstraZeneca
drug_00036,Doxycycline 100,Unknown,Amoun,Antibiotics,31.74,EGP,Tablet,,True,Limited,Doxycycline 100 - Antibiotics medication by Amoun
drug_00037,Vibramycin 100,Unknown,Sanofi,Antibiotics,90.03,EGP,Tablet,,True,Out of Stock,Vibramycin 100 - Antibiotics medication by Sanofi
drug_00038,Minocycline 100,Unknown,GSK,Antibiotics,185.35,EGP,Tablet,,True,Limited,Minocycline 100 - Antibiotics medication by GSK
drug_00039,Minocin 100,Unknown,Spimaco,Antibiotics,37.73,EGP,Tablet,,True,Limited,Minocin 100 - Antibiotics medication by Spimaco
drug_00040,Cefixime 400,Unknown,Pfizer,Antibiotics,143.92,EGP,Tablet,,True,Available,Cefixime 400 - Antibiotics medication by Pfizer
drug_00041,Suprax 400,Unknown,CID,Antibiotics,168.92,EGP,Tablet,,True,Out of Stock,Suprax 400 - Antibiotics medication by CID
drug_00042,Cefuroxime 500,Unknown,Global Napi,Antibiotics,47.46,EGP,Tablet,,True,Available,Cefuroxime 500 - Antibiotics medication by Global Napi
drug_00043,Zinnat 500,Unknown,Merck,Antibiotics,42.84,EGP,Tablet,,True,Out of Stock,Zinnat 500 - Antibiotics medication by Merck
drug_00044,Ceftriaxone 1g,Unknown,Abbott,Antibiotics,181.93,EGP,Tablet,1g,True,Limited,Ceftriaxone 1g - Antibiotics medication by Abbott
drug_00045,Rocephin 1g,Unknown,Spimaco,Antibiotics,113.58,EGP,Tablet,1g,True,Limited,Rocephin 1g - Antibiotics medication by Spimaco
drug_00046,Ceftazidime 1g,Unknown,Tabuk,Antibiotics,163.44,EGP,Tablet,1g,True,Limited,Ceftazidime 1g - Antibiotics medication by Tabuk
drug_00047,Fortum 1g,Unknown,Merck,Antibiotics,125.3,EGP,Tablet,1g,True,Limited,Fortum 1g - Antibiotics medication by Merck
