id,trade_name,generic_name,active_ingredient,company,gtin,barcode,strength,form,package_size,price_range,requires_prescription,storage_conditions,category
med_00001,Amocla 500mg,Amocla,Ciprofloxacin,EIPICO,6221003471147,6221001474776,500mg,Capsule,20 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00002,Amocla,Amocla,Amoxicillin,EIPICO,6223001722506,6223002267180,1g,Suspension,250ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00003,Amocla,Amocla,Azithromycin,EIPICO,6222002133906,6222002402979,250mg,Suspension,125ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00004,Amoxilin 1g,Amoxilin,Amoxicillin,EIPICO,6221003371240,6222002246711,1g,Injection,2ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00005,Amoxilin,Amoxilin,Amoxicillin,EIPICO,6221001863586,6223001136835,250mg,Capsule,50 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00006,Amoxilin,Amoxilin,Amoxicillin,EIPICO,6223001660404,6223002933590,1g,Suspension,60ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00007,Moxifast 250mg,Moxifast,Azithromycin,EIPICO,6221002355092,6222001459949,250mg,Capsule,10 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00008,Moxifast,Moxifast,Azithromycin,EIPICO,6223002521946,6223001245848,500mg,Injection,5ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00009,Moxifast,Moxifast,Ciprofloxacin,EIPICO,6221001373356,6222002427980,1g,Capsule,20 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00010,Clamoxyl 250mg,Clamoxyl,Amoxicillin,EIPICO,6222002457109,6221002511344,250mg,Injection,1ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00011,Clamoxyl,Clamoxyl,Amoxicillin,EIPICO,6221003179435,6222001551126,500mg,Capsule,50 units,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00012,Clamoxyl,Clamoxyl,Amoxicillin,EIPICO,6222002728591,6221002970952,1g,Suspension,125ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
med_00013,Amoxil 250mg,Amoxil,Amoxicillin,EIPICO,6223002459454,6222001555186,250mg,Injection,5ml,15-80 EGP,True,"Store below 25°C, protect from light",Antibiotics
