name,address,governorate,city,district
صيدلية صبحي,شارع الجلاء، مبنى 72، أمام البنك، حي السلام ثان، الدرب الأحمر، القاهرة,القاهرة,الدرب الأحمر,حي السلام ثان
صيدلية سيد,شارع 26 يوليو، مبنى 115، أمام البنك، حي المعادي، الزاوية، القاهرة,القاهرة,الزاوية,حي المعادي
صيدلية النور,شارع الجلاء، مبنى 141، أمام البنك، حي روض الفرج، الهايكستب، القاهرة,القاهرة,الهايكستب,حي روض الفرج
صيدلية د. سحر فؤاد,شارع الأهرام، مبنى 109، أمام البنك، حي السلام أول، حلوان، القاهرة,القاهرة,حلوان,حي السلام أول
صيدلية مجدي,شارع الوحدة، مبنى 55، حي بولاق، القاهرة الجديدة، القاهرة,القاهرة,القاهرة الجديدة,حي بولاق
صيدلية د. وليد الشيخ,شارع الأمل، مبنى 108، بجانب المدرسة، حي 15 مايو، روض الفرج، القاهرة,القاهرة,روض الفرج,حي 15 مايو
صيدلية مدحت,شارع الأزهر، مبنى 126، أمام البنك، حي الغورية، القاهرة، القاهرة,القاهرة,القاهرة,حي الغورية
صيدلية د. حسين عطية,شارع الأزهر، مبنى 102، بجانب المدرسة، حي روض الفرج، الخليفة، القاهرة,القاهرة,الخليفة,حي روض الفرج
صيدلية د. سمير الفقي,شارع الخليفة، مبنى 60، حي الجمالية، باب الشعرية، القاهرة,القاهرة,باب الشعرية,حي الجمالية
صيدلية أماني عبدالرحمن,شارع الأقصى، مبنى 23، حي السلام، الزيتون، القاهرة,القاهرة,الزيتون,حي السلام
صيدلية عزة جلال,شارع محمد علي، مبنى 94، بجانب المدرسة، حي الزيتون، مدينتي، القاهرة,القاهرة,مدينتي,حي الزيتون
صيدلية عبلة,شارع الطيران، مبنى 27، أمام البنك، حي المرج، التحرير، القاهرة,القاهرة,التحرير,حي المرج
صيدلية ضياء محمد,شارع المدرسة، مبنى 63، أمام البنك، حي السيدة زينب، المرج، القاهرة,القاهرة,المرج,حي السيدة زينب
صيدلية طارق,شارع فيصل، مبنى 119، حي الخلفاوي، المعادي، القاهرة,القاهرة,المعادي,حي الخلفاوي
صيدلية بهاء حسام,شارع الحرية، مبنى 146، أمام البنك، حي الأزبكية، حدائق القبة، القاهرة,القاهرة,حدائق القبة,حي الأزبكية
صيدلية د. حسام مدحت,شارع الهرم، مبنى 54، بعد محطة المترو، حي السلام ثان، روض الفرج، القاهرة,القاهرة,روض الفرج,حي السلام ثان
صيدلية د. هدى عمرو,شارع التحرير، مبنى 52، بجانب المدرسة، حي روض الفرج، المقطم، القاهرة,القاهرة,المقطم,حي روض الفرج
صيدلية د. نادية رمضان,شارع العشرين، مبنى 116، أمام البنك، حي الشرابية، الرحاب، القاهرة,القاهرة,الرحاب,حي الشرابية
صيدلية د. إيمان عاطف,شارع البحر، مبنى 59، بجانب المدرسة، حي السيدة زينب، الشروق، القاهرة,القاهرة,الشروق,حي السيدة زينب
صيدلية د. دينا عبدالله,شارع رمسيس، مبنى 120، بجانب المدرسة، حي الخليفة، حلوان، القاهرة,القاهرة,حلوان,حي الخليفة
صيدلية أمل خالد,شارع المقاومة، مبنى 48، بجانب المدرسة، حي السلام أول، حلوان، القاهرة,القاهرة,حلوان,حي السلام أول
صيدلية عبدالله,شارع الأزهر، مبنى 64، عند النفق، حي الزاوية، الخليفة، القاهرة,القاهرة,الخليفة,حي الزاوية
صيدلية الأمل,شارع فيصل، مبنى 142، أمام البنك، حي الشروق، الدرب الأحمر، القاهرة,القاهرة,الدرب الأحمر,حي الشروق
صيدلية د. مجدي حجازي,شارع الخليفة، مبنى 3، أمام البنك، حي السلام ثان، الهايكستب، القاهرة,القاهرة,الهايكستب,حي السلام ثان
صيدلية سعيد,شارع الأهرام، مبنى 25، حي الخليفة، باب الشعرية، القاهرة,القاهرة,باب الشعرية,حي الخليفة
صيدلية د. أنور عبدالله,شارع الهرم، مبنى 61، حي بولاق، الساحل، القاهرة,القاهرة,الساحل,حي بولاق
صيدلية د. هشام الفقي,شارع الحرية، مبنى 128، بجوار المسجد، حي الجمالية، الزاوية، القاهرة,القاهرة,الزاوية,حي الجمالية
